Ano_Mês,T,carga,M,log_carga,lcg_1st_diff,PIB_constantes,log_PIBc,lPIBc_1diff,PRECIPITACAO,RAD_GLOBAL,TEMP_AR,VELOC_VENTO,PREC_ldiff,RAD__ldiff,TEMP_ldiff,VELO_ldiff
2000-12-01,7,41569.58434138551,M12,10.635124033192255,-0.0070189663454236495,6329.663758513673,8.753002395009153,-0.0225936759031935,0.1285727014804331,861.4386598768132,25.1651243228689,1.9157652855955352,-0.5234028389171024,0.057188007253321516,0.05389001081753397,-0.05939509698967649
2001-01-01,8,42464.37641127697,M01,10.656420801337113,0.02129676814485748,6084.221957168033,8.713454134825502,-0.03954826018365054,0.1972640624467189,904.9603100900067,25.423929600855043,1.887610429128459,0.4280487350669824,0.04928723458695217,0.010231760262189304,-0.014805463817683995
2001-02-01,9,43761.60212796314,M02,10.686512048125012,0.030091246787899095,6001.671144704597,8.699793233546984,-0.013660901278518267,0.14275132275132274,909.4313085063085,25.763651811151814,1.9913532763532762,-0.32343913498823507,0.0049283819657537364,0.013273813256993616,0.05350274005538114
2001-03-01,10,44272.108024180496,M03,10.698110142035036,0.011598093910023977,6364.89615533798,8.758553195907588,0.05875996236060388,0.25079178885630493,759.0780682181675,25.15245115769789,1.7640884549126228,0.5635189537133054,-0.18071483966615798,-0.02400930070865659,-0.1211803451478699
2001-04-01,11,42889.14169443142,M04,10.666373965523125,-0.031736176511911296,6269.239511151777,8.743410336183294,-0.01514285972429441,0.20788590604026844,703.4433104756347,24.173321661316994,1.714794767046007,-0.18763366786352598,-0.07611733760032902,-0.039705738963727644,-0.028340696739670213
2001-05-01,12,40287.073642460215,M05,10.603785943193607,-0.06258802232951766,6444.076145220642,8.770916560679664,0.027506224496370635,0.164791926861483,599.7065028366419,22.929265911070743,1.6984361946532998,-0.23230577176744016,-0.15954691758485762,-0.052835532359224224,-0.009585461886223334
2001-06-01,13,34016.4728333194,M06,10.434600181366074,-0.1691857618275332,6045.472350230414,8.707064898992133,-0.06385166168753109,0.1770172929463246,564.3112447286765,21.77361683129454,1.6882985936591768,0.07156379927874656,-0.06083442195913147,-0.05171508224226962,-0.005986669701392278
2001-07-01,14,32944.63466396579,M07,10.4025836940154,-0.03201648735067408,6310.077651871222,8.749903261619796,0.04283836262766272,0.1984235922646854,580.0073692176501,21.166600037226065,1.9100117405572892,0.11415667234245874,0.0274348573680685,-0.028274530392148556,0.12338811641987002
2001-08-01,15,33809.900094072866,M08,10.428508940775142,0.025925246759742393,6390.941361339407,8.762636854414856,0.012733592795060034,0.06869096483754535,697.0265207613551,22.99840546495234,1.9953660558739437,-1.0607864260192934,0.18378265090204238,0.08300041653711743,0.04371813123553592
2001-09-01,16,33896.12436109762,M09,10.43105596120153,0.0025470204263875473,6117.37163181235,8.718887811330804,-0.04374904308405192,0.15054943323306888,728.5757578176315,23.021887434747292,2.1067223149595673,0.7846738158917828,0.044268151832616454,0.0010205051012621702,0.05430581430687076
2001-10-01,17,34598.17767024221,M10,10.451556291168673,0.02050032996714357,6475.11736042194,8.77572201156517,0.05683420023436625,0.19365241454576243,792.7180105057638,24.14662545108504,2.050973578218423,0.2517733842119776,0.08437594829929207,0.04769924644433443,-0.026818737853268826
2001-11-01,18,35277.15630554155,M11,10.47099090328766,0.019434612118987005,6488.584072744887,8.77779961528605,0.002077603720879395,0.18067502305597619,824.0455174728945,24.55164867730429,1.9029332610578666,-0.06936490971086107,0.038758207994015414,0.01663437042330651,-0.07491807930311112
2001-12-01,19,34961.821747298614,M12,10.462011937888326,-0.008978965399334626,6175.1010818489785,8.728280530892398,-0.04951908439365127,0.21457662320743293,870.8595873070685,24.78703943646509,1.9803981260213332,0.17196692755201637,0.05525498721893385,0.00954190531384258,0.03990138092766904
2002-01-01,20,36498.985940844876,M01,10.505039756742038,0.04302781885371232,6075.035950221108,8.71194318592311,-0.016337344969288736,0.4053732088204846,901.4080214443808,25.145984627992323,2.058747947333787,0.6361412537122512,0.03447725383591749,0.014377313662689684,0.038800107222328406
2002-02-01,21,37693.35377974628,M02,10.537239065580364,0.03219930883832589,6007.895403420084,8.700829783741838,-0.011113402181271326,0.1862274586679728,845.7524108396971,24.821582878619203,1.9090549729945836,-0.7778393233942985,-0.06373135089881554,-0.012984674797710483,-0.07548966438592253
2002-03-01,22,39947.43998654339,M03,10.59531986870422,0.05808080312385577,6344.084927236598,8.755278150242196,0.05444836650035789,0.1769335744767075,834.5207356939807,25.77523642994956,1.9689158425818045,-0.05119444595493028,-0.01336906735272958,0.03770065063806083,0.03087471646751483
2002-04-01,23,40740.754143036305,M04,10.614984200729653,0.019664332025433495,6404.493246298631,8.764755092746258,0.009476942504061725,0.17100192878374484,738.5984812729151,23.550627406967873,1.7870805334411368,-0.03409954081814193,-0.12210314464639804,-0.0902617411085136,-0.09689975610474377
2002-05-01,24,39148.825520145365,M05,10.575125701483524,-0.0398584992461295,6567.051132135643,8.789820172385062,0.025065079638803667,0.1876131356624847,630.3127684381203,22.117844406003517,1.7150859557759843,0.09270721776755964,-0.1585382921628531,-0.06276773968665061,-0.041120102093216815
2002-06-01,25,38876.333191761114,M06,10.568140943215328,-0.00698475826819589,6520.45560204556,8.782699530093721,-0.007120642291340573,0.10880173007074147,586.5867801127863,20.657259599415838,1.8046259753065863,-0.5448548179628034,-0.07189553419966455,-0.06831790982834862,0.05089015506810057
2002-07-01,26,38667.54867202699,M07,10.562755991643694,-0.005384951571633323,6625.57647611835,8.798692662331963,0.015993132238241614,0.10282263117889238,575.9798019926224,18.468505009122687,1.8872829238947493,-0.05652175923418712,-0.018248025733744733,-0.1119999627164816,0.04478483390309085
2002-08-01,27,39823.98309245742,M08,10.59222460005067,0.02946860840697596,6617.926384688679,8.797537364921455,-0.001155297410507572,0.10001441401218604,702.5181979455596,21.375547420355037,2.283720564118894,-0.027691160723958053,0.19859871132518858,0.14618077544299002,0.1906677510331809
2002-09-01,28,39560.01238887292,M09,10.585574098903257,-0.006650501147413834,6426.7159694938755,8.768218951068745,-0.02931841385271028,0.13857806628124444,751.5090399296986,21.678501091386114,2.2237655768956,0.32611950657080757,0.0674119328806917,0.014073411526226653,-0.026603974591704493
